County,MSA,Median,FamilySize,VeryLow,ExtremelyLow,Low,Year
AUTAUGA,"MONTGOMERY, AL",74400,1,26050,15650,41650,2023
AUTAUGA,"MONTGOMERY, AL",74400,2,29800,19720,47600,2023
AUTAUGA,"MONTGOMERY, AL",74400,3,33500,24860,53550,2023
AUTAUGA,"MONTGOMERY, AL",74400,4,37200,30000,59500,2023
AUTAUGA,"MONTGOMERY, AL",74400,5,40200,35140,64300,2023
AUTAUGA,"MONTGOMERY, AL",74400,6,43200,40280,69050,2023
AUTAUGA,"MONTGOMERY, AL",74400,7,46150,45420,73800,2023
AUTAUGA,"MONTGOMERY, AL",74400,8,49150,49150,78550,2023
BALDWIN,"DAPHNE-FAIRHOPE-FOLEY, AL",93000,1,31700,19050,50700,2023
BALDWIN,"DAPHNE-FAIRHOPE-FOLEY, AL",93000,2,36200,21750,57950,2023
BALDWIN,"DAPHNE-FAIRHOPE-FOLEY, AL",93000,3,40750,24860,65200,2023
BALDWIN,"DAPHNE-FAIRHOPE-FOLEY, AL",93000,4,45250,30000,72400,2023
BALDWIN,"DAPHNE-FAIRHOPE-FOLEY, AL",93000,5,48900,35140,78200,2023
BALDWIN,"DAPHNE-FAIRHOPE-FOLEY, AL",93000,6,52500,40280,84000,2023
BALDWIN,"DAPHNE-FAIRHOPE-FOLEY, AL",93000,7,56150,45420,89800,2023
BALDWIN,"DAPHNE-FAIRHOPE-FOLEY, AL",93000,8,59750,50560,95600,2023
BARBOUR,"BARBOUR COUNTY, AL",54700,1,22850,14580,36550,2023
BARBOUR,"BARBOUR COUNTY, AL",54700,2,26100,19720,41750,2023
BARBOUR,"BARBOUR COUNTY, AL",54700,3,29350,24860,46950,2023
BARBOUR,"BARBOUR COUNTY, AL",54700,4,32600,30000,52150,2023
BARBOUR,"BARBOUR COUNTY, AL",54700,5,35250,35140,56350,2023
BARBOUR,"BARBOUR COUNTY, AL",54700,6,37850,37850,60500,2023
BARBOUR,"BARBOUR COUNTY, AL",54700,7,40450,40450,64700,2023
BARBOUR,"BARBOUR COUNTY, AL",54700,8,43050,43050,68850,2023
BIBB,"BIRMINGHAM-HOOVER, AL",90400,1,31450,18900,50300,2023
BIBB,"BIRMINGHAM-HOOVER, AL",90400,2,35950,21600,57500,2023
BIBB,"BIRMINGHAM-HOOVER, AL",90400,3,40450,24860,64700,2023
BIBB,"BIRMINGHAM-HOOVER, AL",90400,4,44900,30000,71850,2023
BIBB,"BIRMINGHAM-HOOVER, AL",90400,5,48500,35140,77600,2023
BIBB,"BIRMINGHAM-HOOVER, AL",90400,6,52100,40280,83350,2023
BIBB,"BIRMINGHAM-HOOVER, AL",90400,7,55700,45420,89100,2023
BIBB,"BIRMINGHAM-HOOVER, AL",90400,8,59300,50560,94850,2023
BLOUNT,"BIRMINGHAM-HOOVER, AL",90400,1,31450,18900,50300,2023
BLOUNT,"BIRMINGHAM-HOOVER, AL",90400,2,35950,21600,57500,2023
BLOUNT,"BIRMINGHAM-HOOVER, AL",90400,3,40450,24860,64700,2023
BLOUNT,"BIRMINGHAM-HOOVER, AL",90400,4,44900,30000,71850,2023
BLOUNT,"BIRMINGHAM-HOOVER, AL",90400,5,48500,35140,77600,2023
BLOUNT,"BIRMINGHAM-HOOVER, AL",90400,6,52100,40280,83350,2023
BLOUNT,"BIRMINGHAM-HOOVER, AL",90400,7,55700,45420,89100,2023
BLOUNT,"BIRMINGHAM-HOOVER, AL",90400,8,59300,50560,94850,2023
BULLOCK,"BULLOCK COUNTY, AL",52200,1,22850,14580,36550,2023
BULLOCK,"BULLOCK COUNTY, AL",52200,2,26100,19720,41750,2023
BULLOCK,"BULLOCK COUNTY, AL",52200,3,29350,24860,46950,2023
BULLOCK,"BULLOCK COUNTY, AL",52200,4,32600,30000,52150,2023
BULLOCK,"BULLOCK COUNTY, AL",52200,5,35250,35140,56350,2023
BULLOCK,"BULLOCK COUNTY, AL",52200,6,37850,37850,60500,2023
BULLOCK,"BULLOCK COUNTY, AL",52200,7,40450,40450,64700,2023
BULLOCK,"BULLOCK COUNTY, AL",52200,8,43050,43050,68850,2023
BUTLER,"BUTLER COUNTY, AL",70400,1,22850,14580,36550,2023
BUTLER,"BUTLER COUNTY, AL",70400,2,26100,19720,41750,2023
BUTLER,"BUTLER COUNTY, AL",70400,3,29350,24860,46950,2023
BUTLER,"BUTLER COUNTY, AL",70400,4,32600,30000,52150,2023
BUTLER,"BUTLER COUNTY, AL",70400,5,35250,35140,56350,2023
BUTLER,"BUTLER COUNTY, AL",70400,6,37850,37850,60500,2023
BUTLER,"BUTLER COUNTY, AL",70400,7,40450,40450,64700,2023
BUTLER,"BUTLER COUNTY, AL",70400,8,43050,43050,68850,2023
CALHOUN,"ANNISTON-OXFORD-JACKSONVILLE, AL",74100,1,25500,15300,40800,2023
CALHOUN,"ANNISTON-OXFORD-JACKSONVILLE, AL",74100,2,29150,19720,46600,2023
CALHOUN,"ANNISTON-OXFORD-JACKSONVILLE, AL",74100,3,32800,24860,52450,2023
CALHOUN,"ANNISTON-OXFORD-JACKSONVILLE, AL",74100,4,36400,30000,58250,2023
CALHOUN,"ANNISTON-OXFORD-JACKSONVILLE, AL",74100,5,39350,35140,62950,2023
CALHOUN,"ANNISTON-OXFORD-JACKSONVILLE, AL",74100,6,42250,40280,67600,2023
CALHOUN,"ANNISTON-OXFORD-JACKSONVILLE, AL",74100,7,45150,45150,72250,2023
CALHOUN,"ANNISTON-OXFORD-JACKSONVILLE, AL",74100,8,48050,48050,76900,2023
CHAMBERS,"CHAMBERS COUNTY, AL",61500,1,22850,14580,36550,2023
CHAMBERS,"CHAMBERS COUNTY, AL",61500,2,26100,19720,41750,2023
CHAMBERS,"CHAMBERS COUNTY, AL",61500,3,29350,24860,46950,2023
CHAMBERS,"CHAMBERS COUNTY, AL",61500,4,32600,30000,52150,2023
CHAMBERS,"CHAMBERS COUNTY, AL",61500,5,35250,35140,56350,2023
CHAMBERS,"CHAMBERS COUNTY, AL",61500,6,37850,37850,60500,2023
CHAMBERS,"CHAMBERS COUNTY, AL",61500,7,40450,40450,64700,2023
CHAMBERS,"CHAMBERS COUNTY, AL",61500,8,43050,43050,68850,2023
CHEROKEE,"CHEROKEE COUNTY, AL",67900,1,22850,14580,36550,2023
CHEROKEE,"CHEROKEE COUNTY, AL",67900,2,26100,19720,41750,2023
CHEROKEE,"CHEROKEE COUNTY, AL",67900,3,29350,24860,46950,2023
CHEROKEE,"CHEROKEE COUNTY, AL",67900,4,32600,30000,52150,2023
CHEROKEE,"CHEROKEE COUNTY, AL",67900,5,35250,35140,56350,2023
CHEROKEE,"CHEROKEE COUNTY, AL",67900,6,37850,37850,60500,2023
CHEROKEE,"CHEROKEE COUNTY, AL",67900,7,40450,40450,64700,2023
CHEROKEE,"CHEROKEE COUNTY, AL",67900,8,43050,43050,68850,2023
CHILTON,"CHILTON COUNTY, AL",70900,1,23450,14580,37450,2023
CHILTON,"CHILTON COUNTY, AL",70900,2,26800,19720,42800,2023
CHILTON,"CHILTON COUNTY, AL",70900,3,30150,24860,48150,2023
CHILTON,"CHILTON COUNTY, AL",70900,4,33450,30000,53500,2023
CHILTON,"CHILTON COUNTY, AL",70900,5,36150,35140,57800,2023
CHILTON,"CHILTON COUNTY, AL",70900,6,38850,38850,62100,2023
CHILTON,"CHILTON COUNTY, AL",70900,7,41500,41500,66350,2023
CHILTON,"CHILTON COUNTY, AL",70900,8,44200,44200,70650,2023
CHOCTAW,"CHOCTAW COUNTY, AL",67000,1,22850,14580,36550,2023
CHOCTAW,"CHOCTAW COUNTY, AL",67000,2,26100,19720,41750,2023
CHOCTAW,"CHOCTAW COUNTY, AL",67000,3,29350,24860,46950,2023
CHOCTAW,"CHOCTAW COUNTY, AL",67000,4,32600,30000,52150,2023
CHOCTAW,"CHOCTAW COUNTY, AL",67000,5,35250,35140,56350,2023
CHOCTAW,"CHOCTAW COUNTY, AL",67000,6,37850,37850,60500,2023
CHOCTAW,"CHOCTAW COUNTY, AL",67000,7,40450,40450,64700,2023
CHOCTAW,"CHOCTAW COUNTY, AL",67000,8,43050,43050,68850,2023
CLARKE,"CLARKE COUNTY, AL",66900,1,22850,14580,36550,2023
CLARKE,"CLARKE COUNTY, AL",66900,2,26100,19720,41750,2023
CLARKE,"CLARKE COUNTY, AL",66900,3,29350,24860,46950,2023
CLARKE,"CLARKE COUNTY, AL",66900,4,32600,30000,52150,2023
CLARKE,"CLARKE COUNTY, AL",66900,5,35250,35140,56350,2023
CLARKE,"CLARKE COUNTY, AL",66900,6,37850,37850,60500,2023
CLARKE,"CLARKE COUNTY, AL",66900,7,40450,40450,64700,2023
CLARKE,"CLARKE COUNTY, AL",66900,8,43050,43050,68850,2023
CLAY,"CLAY COUNTY, AL",63000,1,22850,14580,36550,2023
CLAY,"CLAY COUNTY, AL",63000,2,26100,19720,41750,2023
CLAY,"CLAY COUNTY, AL",63000,3,29350,24860,46950,2023
CLAY,"CLAY COUNTY, AL",63000,4,32600,30000,52150,2023
CLAY,"CLAY COUNTY, AL",63000,5,35250,35140,56350,2023
CLAY,"CLAY COUNTY, AL",63000,6,37850,37850,60500,2023
CLAY,"CLAY COUNTY, AL",63000,7,40450,40450,64700,2023
CLAY,"CLAY COUNTY, AL",63000,8,43050,43050,68850,2023
CLEBURNE,"CLEBURNE COUNTY, AL",71000,1,23150,14580,37050,2023
CLEBURNE,"CLEBURNE COUNTY, AL",71000,2,26450,19720,42350,2023
CLEBURNE,"CLEBURNE COUNTY, AL",71000,3,29750,24860,47650,2023
CLEBURNE,"CLEBURNE COUNTY, AL",71000,4,33050,30000,52900,2023
CLEBURNE,"CLEBURNE COUNTY, AL",71000,5,35700,35140,57150,2023
CLEBURNE,"CLEBURNE COUNTY, AL",71000,6,38350,38350,61400,2023
CLEBURNE,"CLEBURNE COUNTY, AL",71000,7,41000,41000,65600,2023
CLEBURNE,"CLEBURNE COUNTY, AL",71000,8,43650,43650,69850,2023
COFFEE,"COFFEE COUNTY, AL",79500,1,27850,16700,44550,2023
COFFEE,"COFFEE COUNTY, AL",79500,2,31800,19720,50900,2023
COFFEE,"COFFEE COUNTY, AL",79500,3,35800,24860,57250,2023
COFFEE,"COFFEE COUNTY, AL",79500,4,39750,30000,63600,2023
COFFEE,"COFFEE COUNTY, AL",79500,5,42950,35140,68700,2023
COFFEE,"COFFEE COUNTY, AL",79500,6,46150,40280,73800,2023
COFFEE,"COFFEE COUNTY, AL",79500,7,49300,45420,78900,2023
COFFEE,"COFFEE COUNTY, AL",79500,8,52500,50560,84000,2023
COLBERT,"FLORENCE-MUSCLE SHOALS, AL",74100,1,25300,15200,40450,2023
COLBERT,"FLORENCE-MUSCLE SHOALS, AL",74100,2,28900,19720,46200,2023
COLBERT,"FLORENCE-MUSCLE SHOALS, AL",74100,3,32500,24860,52000,2023
COLBERT,"FLORENCE-MUSCLE SHOALS, AL",74100,4,36100,30000,57750,2023
COLBERT,"FLORENCE-MUSCLE SHOALS, AL",74100,5,39000,35140,62400,2023
COLBERT,"FLORENCE-MUSCLE SHOALS, AL",74100,6,41900,40280,67000,2023
COLBERT,"FLORENCE-MUSCLE SHOALS, AL",74100,7,44800,44800,71650,2023
COLBERT,"FLORENCE-MUSCLE SHOALS, AL",74100,8,47700,47700,76250,2023
CONECUH,"CONECUH COUNTY, AL",58600,1,22850,14580,36550,2023
CONECUH,"CONECUH COUNTY, AL",58600,2,26100,19720,41750,2023
CONECUH,"CONECUH COUNTY, AL",58600,3,29350,24860,46950,2023
CONECUH,"CONECUH COUNTY, AL",58600,4,32600,30000,52150,2023
CONECUH,"CONECUH COUNTY, AL",58600,5,35250,35140,56350,2023
CONECUH,"CONECUH COUNTY, AL",58600,6,37850,37850,60500,2023
CONECUH,"CONECUH COUNTY, AL",58600,7,40450,40450,64700,2023
CONECUH,"CONECUH COUNTY, AL",58600,8,43050,43050,68850,2023
COOSA,"COOSA COUNTY, AL",65100,1,22850,14580,36550,2023
COOSA,"COOSA COUNTY, AL",65100,2,26100,19720,41750,2023
COOSA,"COOSA COUNTY, AL",65100,3,29350,24860,46950,2023
COOSA,"COOSA COUNTY, AL",65100,4,32600,30000,52150,2023
COOSA,"COOSA COUNTY, AL",65100,5,35250,35140,56350,2023
COOSA,"COOSA COUNTY, AL",65100,6,37850,37850,60500,2023
COOSA,"COOSA COUNTY, AL",65100,7,40450,40450,64700,2023
COOSA,"COOSA COUNTY, AL",65100,8,43050,43050,68850,2023
COVINGTON,"COVINGTON COUNTY, AL",70300,1,23450,14580,37450,2023
COVINGTON,"COVINGTON COUNTY, AL",70300,2,26800,19720,42800,2023
COVINGTON,"COVINGTON COUNTY, AL",70300,3,30150,24860,48150,2023
COVINGTON,"COVINGTON COUNTY, AL",70300,4,33450,30000,53500,2023
COVINGTON,"COVINGTON COUNTY, AL",70300,5,36150,35140,57800,2023
COVINGTON,"COVINGTON COUNTY, AL",70300,6,38850,38850,62100,2023
COVINGTON,"COVINGTON COUNTY, AL",70300,7,41500,41500,66350,2023
COVINGTON,"COVINGTON COUNTY, AL",70300,8,44200,44200,70650,2023
CRENSHAW,"CRENSHAW COUNTY, AL",71400,1,23800,14580,38050,2023
CRENSHAW,"CRENSHAW COUNTY, AL",71400,2,27200,19720,43500,2023
CRENSHAW,"CRENSHAW COUNTY, AL",71400,3,30600,24860,48950,2023
CRENSHAW,"CRENSHAW COUNTY, AL",71400,4,34000,30000,54350,2023
CRENSHAW,"CRENSHAW COUNTY, AL",71400,5,36750,35140,58700,2023
CRENSHAW,"CRENSHAW COUNTY, AL",71400,6,39450,39450,63050,2023
CRENSHAW,"CRENSHAW COUNTY, AL",71400,7,42200,42200,67400,2023
CRENSHAW,"CRENSHAW COUNTY, AL",71400,8,44900,44900,71750,2023
CULLMAN,"CULLMAN COUNTY, AL",77200,1,23750,14580,38000,2023
CULLMAN,"CULLMAN COUNTY, AL",77200,2,27150,19720,43400,2023
CULLMAN,"CULLMAN COUNTY, AL",77200,3,30550,24860,48850,2023
CULLMAN,"CULLMAN COUNTY, AL",77200,4,33900,30000,54250,2023
CULLMAN,"CULLMAN COUNTY, AL",77200,5,36650,35140,58600,2023
CULLMAN,"CULLMAN COUNTY, AL",77200,6,39350,39350,62950,2023
CULLMAN,"CULLMAN COUNTY, AL",77200,7,42050,42050,67300,2023
CULLMAN,"CULLMAN COUNTY, AL",77200,8,44750,44750,71650,2023
DALE,"DALE COUNTY, AL",70200,1,23650,14580,37800,2023
DALE,"DALE COUNTY, AL",70200,2,27000,19720,43200,2023
DALE,"DALE COUNTY, AL",70200,3,30400,24860,48600,2023
DALE,"DALE COUNTY, AL",70200,4,33750,30000,54000,2023
DALE,"DALE COUNTY, AL",70200,5,36450,35140,58350,2023
DALE,"DALE COUNTY, AL",70200,6,39150,39150,62650,2023
DALE,"DALE COUNTY, AL",70200,7,41850,41850,67000,2023
DALE,"DALE COUNTY, AL",70200,8,44550,44550,71300,2023
DALLAS,"DALLAS COUNTY, AL",59600,1,22850,14580,36550,2023
DALLAS,"DALLAS COUNTY, AL",59600,2,26100,19720,41750,2023
DALLAS,"DALLAS COUNTY, AL",59600,3,29350,24860,46950,2023
DALLAS,"DALLAS COUNTY, AL",59600,4,32600,30000,52150,2023
DALLAS,"DALLAS COUNTY, AL",59600,5,35250,35140,56350,2023
DALLAS,"DALLAS COUNTY, AL",59600,6,37850,37850,60500,2023
DALLAS,"DALLAS COUNTY, AL",59600,7,40450,40450,64700,2023
DALLAS,"DALLAS COUNTY, AL",59600,8,43050,43050,68850,2023
DEKALB,"DEKALB COUNTY, AL",60600,1,22850,14580,36550,2023
DEKALB,"DEKALB COUNTY, AL",60600,2,26100,19720,41750,2023
DEKALB,"DEKALB COUNTY, AL",60600,3,29350,24860,46950,2023
DEKALB,"DEKALB COUNTY, AL",60600,4,32600,30000,52150,2023
DEKALB,"DEKALB COUNTY, AL",60600,5,35250,35140,56350,2023
DEKALB,"DEKALB COUNTY, AL",60600,6,37850,37850,60500,2023
DEKALB,"DEKALB COUNTY, AL",60600,7,40450,40450,64700,2023
DEKALB,"DEKALB COUNTY, AL",60600,8,43050,43050,68850,2023
ELMORE,"MONTGOMERY, AL",74400,1,26050,15650,41650,2023
ELMORE,"MONTGOMERY, AL",74400,2,29800,19720,47600,2023
ELMORE,"MONTGOMERY, AL",74400,3,33500,24860,53550,2023
ELMORE,"MONTGOMERY, AL",74400,4,37200,30000,59500,2023
ELMORE,"MONTGOMERY, AL",74400,5,40200,35140,64300,2023
ELMORE,"MONTGOMERY, AL",74400,6,43200,40280,69050,2023
ELMORE,"MONTGOMERY, AL",74400,7,46150,45420,73800,2023
ELMORE,"MONTGOMERY, AL",74400,8,49150,49150,78550,2023
ESCAMBIA,"ESCAMBIA COUNTY, AL",56400,1,22850,14580,36550,2023
ESCAMBIA,"ESCAMBIA COUNTY, AL",56400,2,26100,19720,41750,2023
ESCAMBIA,"ESCAMBIA COUNTY, AL",56400,3,29350,24860,46950,2023
ESCAMBIA,"ESCAMBIA COUNTY, AL",56400,4,32600,30000,52150,2023
ESCAMBIA,"ESCAMBIA COUNTY, AL",56400,5,35250,35140,56350,2023
ESCAMBIA,"ESCAMBIA COUNTY, AL",56400,6,37850,37850,60500,2023
ESCAMBIA,"ESCAMBIA COUNTY, AL",56400,7,40450,40450,64700,2023
ESCAMBIA,"ESCAMBIA COUNTY, AL",56400,8,43050,43050,68850,2023
ETOWAH,"GADSDEN, AL",63400,1,23000,14580,36800,2023
ETOWAH,"GADSDEN, AL",63400,2,26300,19720,42050,2023
ETOWAH,"GADSDEN, AL",63400,3,29600,24860,47300,2023
ETOWAH,"GADSDEN, AL",63400,4,32850,30000,52550,2023
ETOWAH,"GADSDEN, AL",63400,5,35500,35140,56800,2023
ETOWAH,"GADSDEN, AL",63400,6,38150,38150,61000,2023
ETOWAH,"GADSDEN, AL",63400,7,40750,40750,65200,2023
ETOWAH,"GADSDEN, AL",63400,8,43400,43400,69400,2023
FAYETTE,"FAYETTE COUNTY, AL",66300,1,22850,14580,36550,2023
FAYETTE,"FAYETTE COUNTY, AL",66300,2,26100,19720,41750,2023
FAYETTE,"FAYETTE COUNTY, AL",66300,3,29350,24860,46950,2023
FAYETTE,"FAYETTE COUNTY, AL",66300,4,32600,30000,52150,2023
FAYETTE,"FAYETTE COUNTY, AL",66300,5,35250,35140,56350,2023
FAYETTE,"FAYETTE COUNTY, AL",66300,6,37850,37850,60500,2023
FAYETTE,"FAYETTE COUNTY, AL",66300,7,40450,40450,64700,2023
FAYETTE,"FAYETTE COUNTY, AL",66300,8,43050,43050,68850,2023
FRANKLIN,"FRANKLIN COUNTY, AL",61200,1,22850,14580,36550,2023
FRANKLIN,"FRANKLIN COUNTY, AL",61200,2,26100,19720,41750,2023
FRANKLIN,"FRANKLIN COUNTY, AL",61200,3,29350,24860,46950,2023
FRANKLIN,"FRANKLIN COUNTY, AL",61200,4,32600,30000,52150,2023
FRANKLIN,"FRANKLIN COUNTY, AL",61200,5,35250,35140,56350,2023
FRANKLIN,"FRANKLIN COUNTY, AL",61200,6,37850,37850,60500,2023
FRANKLIN,"FRANKLIN COUNTY, AL",61200,7,40450,40450,64700,2023
FRANKLIN,"FRANKLIN COUNTY, AL",61200,8,43050,43050,68850,2023
GENEVA,"DOTHAN, AL",68000,1,23800,14580,38100,2023
GENEVA,"DOTHAN, AL",68000,2,27200,19720,43550,2023
GENEVA,"DOTHAN, AL",68000,3,30600,24860,49000,2023
GENEVA,"DOTHAN, AL",68000,4,34000,30000,54400,2023
GENEVA,"DOTHAN, AL",68000,5,36750,35140,58800,2023
GENEVA,"DOTHAN, AL",68000,6,39450,39450,63150,2023
GENEVA,"DOTHAN, AL",68000,7,42200,42200,67500,2023
GENEVA,"DOTHAN, AL",68000,8,44900,44900,71850,2023
GREENE,"GREENE COUNTY, AL",54200,1,22850,14580,36550,2023
GREENE,"GREENE COUNTY, AL",54200,2,26100,19720,41750,2023
GREENE,"GREENE COUNTY, AL",54200,3,29350,24860,46950,2023
GREENE,"GREENE COUNTY, AL",54200,4,32600,30000,52150,2023
GREENE,"GREENE COUNTY, AL",54200,5,35250,35140,56350,2023
GREENE,"GREENE COUNTY, AL",54200,6,37850,37850,60500,2023
GREENE,"GREENE COUNTY, AL",54200,7,40450,40450,64700,2023
GREENE,"GREENE COUNTY, AL",54200,8,43050,43050,68850,2023
HALE,"TUSCALOOSA, AL",82900,1,28750,17300,46000,2023
HALE,"TUSCALOOSA, AL",82900,2,32850,19750,52600,2023
HALE,"TUSCALOOSA, AL",82900,3,36950,24860,59150,2023
HALE,"TUSCALOOSA, AL",82900,4,41050,30000,65700,2023
HALE,"TUSCALOOSA, AL",82900,5,44350,35140,71000,2023
HALE,"TUSCALOOSA, AL",82900,6,47650,40280,76250,2023
HALE,"TUSCALOOSA, AL",82900,7,50950,45420,81500,2023
HALE,"TUSCALOOSA, AL",82900,8,54200,50560,86750,2023
HENRY,"HENRY COUNTY, AL",77200,1,25000,15000,40000,2023
HENRY,"HENRY COUNTY, AL",77200,2,28600,19720,45700,2023
HENRY,"HENRY COUNTY, AL",77200,3,32150,24860,51400,2023
HENRY,"HENRY COUNTY, AL",77200,4,35700,30000,57100,2023
HENRY,"HENRY COUNTY, AL",77200,5,38600,35140,61700,2023
HENRY,"HENRY COUNTY, AL",77200,6,41450,40280,66250,2023
HENRY,"HENRY COUNTY, AL",77200,7,44300,44300,70850,2023
HENRY,"HENRY COUNTY, AL",77200,8,47150,47150,75400,2023
HOUSTON,"DOTHAN, AL",68000,1,23800,14580,38100,2023
HOUSTON,"DOTHAN, AL",68000,2,27200,19720,43550,2023
HOUSTON,"DOTHAN, AL",68000,3,30600,24860,49000,2023
HOUSTON,"DOTHAN, AL",68000,4,34000,30000,54400,2023
HOUSTON,"DOTHAN, AL",68000,5,36750,35140,58800,2023
HOUSTON,"DOTHAN, AL",68000,6,39450,39450,63150,2023
HOUSTON,"DOTHAN, AL",68000,7,42200,42200,67500,2023
HOUSTON,"DOTHAN, AL",68000,8,44900,44900,71850,2023
JACKSON,"JACKSON COUNTY, AL",62500,1,22850,14580,36550,2023
JACKSON,"JACKSON COUNTY, AL",62500,2,26100,19720,41750,2023
JACKSON,"JACKSON COUNTY, AL",62500,3,29350,24860,46950,2023
JACKSON,"JACKSON COUNTY, AL",62500,4,32600,30000,52150,2023
JACKSON,"JACKSON COUNTY, AL",62500,5,35250,35140,56350,2023
JACKSON,"JACKSON COUNTY, AL",62500,6,37850,37850,60500,2023
JACKSON,"JACKSON COUNTY, AL",62500,7,40450,40450,64700,2023
JACKSON,"JACKSON COUNTY, AL",62500,8,43050,43050,68850,2023
JEFFERSON,"BIRMINGHAM-HOOVER, AL",90400,1,31450,18900,50300,2023
JEFFERSON,"BIRMINGHAM-HOOVER, AL",90400,2,35950,21600,57500,2023
JEFFERSON,"BIRMINGHAM-HOOVER, AL",90400,3,40450,24860,64700,2023
JEFFERSON,"BIRMINGHAM-HOOVER, AL",90400,4,44900,30000,71850,2023
JEFFERSON,"BIRMINGHAM-HOOVER, AL",90400,5,48500,35140,77600,2023
JEFFERSON,"BIRMINGHAM-HOOVER, AL",90400,6,52100,40280,83350,2023
JEFFERSON,"BIRMINGHAM-HOOVER, AL",90400,7,55700,45420,89100,2023
JEFFERSON,"BIRMINGHAM-HOOVER, AL",90400,8,59300,50560,94850,2023
LAMAR,"LAMAR COUNTY, AL",65500,1,22850,14580,36550,2023
LAMAR,"LAMAR COUNTY, AL",65500,2,26100,19720,41750,2023
LAMAR,"LAMAR COUNTY, AL",65500,3,29350,24860,46950,2023
LAMAR,"LAMAR COUNTY, AL",65500,4,32600,30000,52150,2023
LAMAR,"LAMAR COUNTY, AL",65500,5,35250,35140,56350,2023
LAMAR,"LAMAR COUNTY, AL",65500,6,37850,37850,60500,2023
LAMAR,"LAMAR COUNTY, AL",65500,7,40450,40450,64700,2023
LAMAR,"LAMAR COUNTY, AL",65500,8,43050,43050,68850,2023
LAUDERDALE,"FLORENCE-MUSCLE SHOALS, AL",74100,1,25300,15200,40450,2023
LAUDERDALE,"FLORENCE-MUSCLE SHOALS, AL",74100,2,28900,19720,46200,2023
LAUDERDALE,"FLORENCE-MUSCLE SHOALS, AL",74100,3,32500,24860,52000,2023
LAUDERDALE,"FLORENCE-MUSCLE SHOALS, AL",74100,4,36100,30000,57750,2023
LAUDERDALE,"FLORENCE-MUSCLE SHOALS, AL",74100,5,39000,35140,62400,2023
LAUDERDALE,"FLORENCE-MUSCLE SHOALS, AL",74100,6,41900,40280,67000,2023
LAUDERDALE,"FLORENCE-MUSCLE SHOALS, AL",74100,7,44800,44800,71650,2023
LAUDERDALE,"FLORENCE-MUSCLE SHOALS, AL",74100,8,47700,47700,76250,2023
LAWRENCE,"DECATUR, AL",86300,1,26150,15700,41850,2023
LAWRENCE,"DECATUR, AL",86300,2,29900,19720,47800,2023
LAWRENCE,"DECATUR, AL",86300,3,33650,24860,53800,2023
LAWRENCE,"DECATUR, AL",86300,4,37350,30000,59750,2023
LAWRENCE,"DECATUR, AL",86300,5,40350,35140,64550,2023
LAWRENCE,"DECATUR, AL",86300,6,43350,40280,69350,2023
LAWRENCE,"DECATUR, AL",86300,7,46350,45420,74100,2023
LAWRENCE,"DECATUR, AL",86300,8,49350,49350,78900,2023
LEE,"AUBURN-OPELIKA, AL",83900,1,29400,17650,47000,2023
LEE,"AUBURN-OPELIKA, AL",83900,2,33600,20150,53700,2023
LEE,"AUBURN-OPELIKA, AL",83900,3,37800,24860,60400,2023
LEE,"AUBURN-OPELIKA, AL",83900,4,41950,30000,67100,2023
LEE,"AUBURN-OPELIKA, AL",83900,5,45350,35140,72500,2023
LEE,"AUBURN-OPELIKA, AL",83900,6,48700,40280,77850,2023
LEE,"AUBURN-OPELIKA, AL",83900,7,52050,45420,83250,2023
LEE,"AUBURN-OPELIKA, AL",83900,8,55400,50560,88600,2023
LIMESTONE,"HUNTSVILLE, AL",108200,1,34350,20650,54950,2023
LIMESTONE,"HUNTSVILLE, AL",108200,2,39250,23600,62800,2023
LIMESTONE,"HUNTSVILLE, AL",108200,3,44150,26550,70650,2023
LIMESTONE,"HUNTSVILLE, AL",108200,4,49050,30000,78500,2023
LIMESTONE,"HUNTSVILLE, AL",108200,5,53000,35140,84800,2023
LIMESTONE,"HUNTSVILLE, AL",108200,6,56900,40280,91100,2023
LIMESTONE,"HUNTSVILLE, AL",108200,7,60850,45420,97350,2023
LIMESTONE,"HUNTSVILLE, AL",108200,8,64750,50560,103650,2023
LOWNDES,"MONTGOMERY, AL",74400,1,26050,15650,41650,2023
LOWNDES,"MONTGOMERY, AL",74400,2,29800,19720,47600,2023
LOWNDES,"MONTGOMERY, AL",74400,3,33500,24860,53550,2023
LOWNDES,"MONTGOMERY, AL",74400,4,37200,30000,59500,2023
LOWNDES,"MONTGOMERY, AL",74400,5,40200,35140,64300,2023
LOWNDES,"MONTGOMERY, AL",74400,6,43200,40280,69050,2023
LOWNDES,"MONTGOMERY, AL",74400,7,46150,45420,73800,2023
LOWNDES,"MONTGOMERY, AL",74400,8,49150,49150,78550,2023
MACON,"MACON COUNTY, AL",58800,1,22850,14580,36550,2023
MACON,"MACON COUNTY, AL",58800,2,26100,19720,41750,2023
MACON,"MACON COUNTY, AL",58800,3,29350,24860,46950,2023
MACON,"MACON COUNTY, AL",58800,4,32600,30000,52150,2023
MACON,"MACON COUNTY, AL",58800,5,35250,35140,56350,2023
MACON,"MACON COUNTY, AL",58800,6,37850,37850,60500,2023
MACON,"MACON COUNTY, AL",58800,7,40450,40450,64700,2023
MACON,"MACON COUNTY, AL",58800,8,43050,43050,68850,2023
MADISON,"HUNTSVILLE, AL",108200,1,34350,20650,54950,2023
